file,size_bytes,threads,conns,duration,total_requests,rps,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,latency_implied_ms
1k.bin,1024,1,1,15s,49222,3259.77,0.294490,0.075230,3.08,0.273000,0.302000,0.381000,0.512000,0.306770
2k.bin,2048,1,1,15s,37914,2527.44,0.383910,0.098710,3.85,0.368000,0.396000,0.455000,0.624000,0.395657
4k.bin,4096,1,1,15s,25759,1705.91,1.96,13.76,206.73,0.547000,0.590000,0.661000,53.78,0.586197
8k.bin,8192,1,1,15s,5868,390.69,28.00,53.99,211.17,1.30,11.08,126.70,200.22,2.559574
16k.bin,16384,1,1,15s,3534,235.39,28.25,51.98,212.07,2.38,25.16,119.80,201.35,4.248269
32k.bin,32768,1,1,15s,1878,125.06,28.75,50.03,255.72,4.42,29.51,110.12,206.06,7.996162
64k.bin,65536,1,1,15s,1291,85.99,23.78,39.61,219.69,8.09,14.87,51.53,202.17,11.629259
128k.bin,131072,1,1,15s,736,49.04,31.24,41.89,265.99,15.50,19.01,61.94,220.44,20.391517
256k.bin,262144,1,1,15s,381,25.39,45.45,38.98,240.56,29.73,37.07,76.61,237.55,39.385585
512k.bin,524288,1,1,15s,145,9.66,104.37,45.69,309.02,101.63,116.94,151.13,303.06,103.519669
1m.bin,1048576,1,1,15s,61,4.06,244.15,82.18,502.81,226.46,261.99,389.71,502.81,246.305419
