file,size_bytes,threads,conns,duration,total_requests,rps,latency_avg_ms,latency_stdev_ms,latency_max_ms,latency_p50_ms,latency_p75_ms,latency_p90_ms,latency_p99_ms,latency_implied_ms
1k.bin,1024,1,1,15s,157596,10436.98,0.093840,0.017540,2.06,0.089000,0.092000,0.102000,0.148000,0.095813
2k.bin,2048,1,1,15s,110138,7293.97,0.134950,0.035150,3.58,0.124000,0.144000,0.171000,0.233000,0.137100
4k.bin,4096,1,1,15s,102844,6810.81,0.144610,0.033510,3.59,0.137000,0.158000,0.181000,0.222000,0.146825
8k.bin,8192,1,1,15s,74768,4951.54,0.199860,0.023550,3.68,0.197000,0.205000,0.229000,0.251000,0.201957
16k.bin,16384,1,1,15s,46794,3119.01,0.315840,1.90,207.57,0.302000,0.313000,0.321000,0.339000,0.320615
32k.bin,32768,1,1,15s,27131,1807.81,0.550120,4.29,207.86,0.461000,0.474000,0.485000,0.514000,0.553155
64k.bin,65536,1,1,15s,18764,1250.54,0.796760,3.37,208.97,0.741000,0.759000,0.775000,0.830000,0.799655
128k.bin,131072,1,1,15s,11125,741.56,1.35,3.35,206.74,1.29,1.30,1.31,1.34,1.348509
256k.bin,262144,1,1,15s,6045,402.96,2.48,3.74,208.32,2.40,2.42,2.43,2.48,2.481636
512k.bin,524288,1,1,15s,3223,214.86,4.65,0.045900,6.39,4.64,4.66,4.68,4.73,4.654193
1m.bin,1048576,1,1,15s,1655,109.60,9.12,0.051800,10.72,9.11,9.13,9.15,9.17,9.124088
